Snapshot,Size,Count,Average Count
"36, 9216, 108, 85.33"
"37, 4752, 99, 48.00"
"38, 10440, 216, 48.33"
"39, 10024, 211, 47.51"
"40, 8640, 135, 64.00"
"41, 10224, 120, 85.20"
"42, 6048, 126, 48.00"
"43, 11448, 237, 48.30"
"44, 12096, 249, 48.58"
"45, 10496, 164, 64.00"
"46, 11232, 132, 85.09"
"47, 7920, 165, 48.00"
"48, 12264, 254, 48.28"
"49, 14480, 295, 49.08"
"50, 12544, 196, 64.00"
"51, 12240, 144, 85.00"
"52, 9120, 190, 48.00"
"53, 13944, 289, 48.25"
"54, 17032, 343, 49.66"
"55, 14784, 231, 64.00"
"56, 10224, 213, 48.00"
"57, 13248, 156, 84.92"
"58, 16008, 332, 48.22"
"59, 19752, 393, 50.26"
"60, 17216, 269, 64.00"
"61, 14256, 168, 84.86"
"62, 11808, 246, 48.00"
"63, 17928, 372, 48.19"
"64, 22640, 445, 50.88"
"65, 19840, 310, 64.00"
"66, 15264, 180, 84.80"
"67, 13536, 282, 48.00"
"68, 19944, 414, 48.17"
"69, 25912, 508, 51.01"
"70, 22656, 354, 64.00"
"71, 16272, 192, 84.75"
"72, 15120, 315, 48.00"
"73, 22392, 465, 48.15"
"74, 29232, 568, 51.46"
"75, 25664, 401, 64.00"
"76, 17280, 204, 84.71"
"77, 16896, 352, 48.00"
"78, 24992, 519, 48.15"
"79, 32720, 630, 51.94"
"80, 28864, 451, 64.00"
"81, 18288, 216, 84.67"
"82, 18624, 388, 48.00"
"83, 27872, 579, 48.14"
"84, 36400, 695, 52.37"
"85, 32256, 504, 64.00"
"86, 19296, 228, 84.63"
"87, 20304, 423, 48.00"
"88, 31032, 645, 48.11"
"89, 40272, 763, 52.78"
"90, 35840, 560, 64.00"
"91, 20304, 240, 84.60"
"92, 21984, 458, 48.00"
"93, 34592, 719, 48.11"
"94, 44336, 834, 53.16"
"95, 39616, 619, 64.00"
"96, 21312, 252, 84.57"
"97, 23712, 494, 48.00"
"98, 38336, 797, 48.10"
"99, 48592, 908, 53.52"
"100, 43504, 680, 63.98"
"101, 22320, 264, 84.55"
"102, 25440, 530, 48.00"
"103, 53040, 985, 53.85"
"104, 42312, 880, 48.08"
"105, 47744, 746, 64.00"
"106, 23328, 276, 84.52"
"107, 27120, 565, 48.00"
"108, 57680, 1065, 54.16"
"109, 52016, 813, 63.98"
"110, 46680, 971, 48.07"
"111, 24384, 289, 84.37"
"112, 62512, 1148, 54.45"
"113, 28752, 599, 48.00"
"114, 56640, 885, 64.00"
"115, 51336, 1068, 48.07"
"116, 25728, 308, 83.53"
"117, 30432, 634, 48.00"
"118, 55944, 1164, 48.06"
